	id	sentence	sentiment
0	5bf2fb597b2a30b77971b88e0	 I was never quite sure where this thing was going . These people seem interested in what is going on on some mountain . They investigate , have exciting escapes , leave , come back , leave , put each other in danger , sleepwalk , get attacked by witches who have consistent wardrobes , etc . , etc . The guy seems to like the girl , but leaves her unprotected numerous times . She gets taken off , he gets her back , leaves her again . You get immersed in the film . The whole thing seems to get around to some sort of sacrifice , I think , but I 'm not sure , or turning people into witches , but I 'm not sure . It 's just enthralling   and definitely worth the time . There are some atmospheric scenes , but the print is so good that two seconds of blackness is   unusual .	4
1	40c20f9a5a33fc7289518b5fb	" """""" I vaguely remember Ben from my Sci - Fi fandom days of the ' 60s , I was doing several interviews & bios of obscure actors / actresses , most notably Ben , actress Fay Spain , and Jody Fair , who played Angela in 1961 's The Young Savages . Ben was one of the people at a low - key Sci - Fi con in Chicago , about 1970 , when I had a nice chat with him and his """" """" career """" """" and life . All these were published in some now - long - forgotten fanzine of the day . Wish I still had copies of those interviews , but time marches on , and any of those people surely would n't ' remember me at all so many years later . Ben was a really nice fellow , ekeing out a living ( The cons of those days did n't even pay their guest , unless , of course they were big - name stars , and even then the pay was a couple hundred dollars , at most ! Good to know Ben 's still alive & kicking ! How 'bout a remake of Creature , but 50 years older ! Scary then , scarier now ! """""""	4
2	828a1afaf931a15aa051c8106	 Possibly not , but it is great . Even the fantastic cast saves it . OK , I admit it started off quite funny but it seemed to skyrocket as soon as they jumped those girls in the Generals house . Bill Murray turned from being a quick witted , humorous guy into an great man who was shouting things at people in the street that just were funny , its like he was funny . His character stole a weapon ( an RV ? ) and ends up being a national hero after invading another country and killing god knows how many soldiers , for a laugh . Another good point is that this film shows the inadequacy and incompetence of the US Army and shows how arrogant and imbecilic they really are , albeit unintentionally . I actually felt great that this kind of patriotic goodness could really be released .	4
3	d580d1c6f2f633c5f3952d3b7	" """""" Not the best movie I 've seen but definitely very good . I myself am a paintball player , used to play airball a lot and going from woods to airball is quite a large change . The movie portrays similar qualitys First of all the movie starts off with this team that apparently is trying to shoot this """" """" Phantom """" """" guy or whatever , they appear to be a professional team and wear jerseys and shoot mags , autocockers . One guy sporting a bushy . Not much wrong with the movie and it 's not very cheesy . A bunch of kids who are the good guys are woodsball players who do n't appear to have much money and have dreams of getting """" """" better guns """" """" . Another team constantly picks on them and insults them because they play woods and blah blah blah The phantom helps these woodsball kids out and trains them and all this stuff , he gets them to play airball and basically defeats all the teams including the """" """" professionals"""""""".<br /><br />So what exactly is right with the movie ? Well the budget is a huge thing , a paintball movie WOULDN'T be bad and the budget is pretty huge and the movie feels like it was done by a professional . There are no big names in this film but the acting is very good . The perception of paintball is pretty is n't too extreme . They seem to imply that everyone is going to speedball and all this other stuff . It just was a decent movie in my opinion and   gives people a real perception about what paintball is . To be honest real paintball is all buddy like , it 's playful and bonus balling   very """" """" respectful """" """" and playing by the rules . Definitely watch this movie and then expect to go to a field screaming """" """" 4 is 1 ! ! """" """" """""""	4
4	4da0279bd04ae23bb1c01ef0b	" """""" I 've seen a lot of movies and rarely would I ever rate a movie """" """" 10 """" """" but this movie was beyond awesome.<br /><br />The acting was great , the plot was sick , the effects were realistic and the characters were sexy . Usually when I watch scary movies I think it 's DUMB when the characters hears a noise in house / forest / school / etc and then yells out """" """" hello is anyone there ? """" """" - but some of them at least they 're believable when they do it .. This movie got that right.<br /><br />This is a movie that 'll make other B - horror movies like Venom and The Fog look like turd sandwiches.<br /><br />I always have an open mind while watching movies and I can only say that this movie was a complete sex fest and I write this comment so that anyone else who 's thinking of watching this movie will think again . IT 'S GOT BEAVER ! """""""	4
5	e52ee7388fde3b2c34ce6a9d7	 This a bad Disney flick . It is the story of an aging high school baseball coach ( Dennis Quaid ) , who was once on his way to the big leagues as a pitcher , but suffered a career ending injury . Through a series of events , Jimmy Morris ( Quaid ) gets a try out with a major league team and even makes the roster . This is a bad family film . It is not inspirational and pours it on too thick . It 's neither fun nor entertaining . Adults will hate this movie as well as kids . It is based upon a true story , though i 'm sure the filmmakers took some liberties in telling the story . Quaid is dull as the title character , very unconvincing . If you 're looking for a film the whole family can enjoy , look past this . 2/10	0
6	edb9d4ad17c016a8ef91b01b6	" """""" I never actually thought that a film could be so great , but alas I was wrong . Great acting , great plot , fun effects . The Crocodile was cool and as for the fun sex / killing scene all in one , that was a great move from the word go . It was truly shocking and that is a compliment ! How can someone make this film , watch it back and then actually say """" """" Yeah , my favorite movie . People will watch that """" """" If you have n't seen it I beg you watch it . """""""	4
7	ca060e07434b02f2f9798b8cd	 To all the great people who have done everything from complain about the dialogue , the budget , the this and the that .... everyone wants to hear it .   IF you missed the point of this terrible movie , that 's not your loss . The rest of us who deeply hate this movie care what you think . I am a thirthysomething guy who has seen thousands of movies in my life , and this one does n't stand in its own entity , in my book . It was not supposed to be a documentary , or a completely factual account of what happened that night . It is the worst love story ever attempted . I know that it is the cynical 90 's and the millennium has everyone in a tizzy , but come on . Someone on this comments board complained that it made too much money ! How right is that ? It made bundles of money in every civilized country on the planet , and is the top grossing film in the planet . I will gladly side against the majority this time around . Okay , cynics , time to join me .	0
8	7beaca58458a812c44835a6af	" """""" First let me preface this post by saying that I am a fan of the original Star Wars MOVIES ... I do n't read the books , play the games , wear the underwear or eat the cereal ( if there is one ) . I am simply a fan of the films.<br /><br />With that being said , I ca n't struggle to see how people are giving this movie such high praise . Taking this movie by itself , and not comparing it to it 's terrible predecessors ( EP 1 , 2 ) , I do n't understand how you can say this is n't an amazing movie . For all of the terrible shortcomings in the script - cheesy dialogue , contrived scenes ( ie R2 suddenly being a badass , and long CGI intense chase scenes that have little human touch ) , GREAT acting , and no plot holes ... how is this bad ? There was no real internal dilemma within Anakin ; it just seemed like a switch was flipped and he was evil all of a sudden . I was interested in the movie . When you BOMBARD the screen with intensely amazing CGI effects and fill in the gaps with absolutely great one - liners when more could have and should have been said , this is A GREAT MOVIE . For a film with such a """" """" dark """" """" tone , there was too much levity in the speech of ALL characters.<br /><br />I close with a question : From the beginning to the end of the film , was there really a sense of urgency and importance for what was actually about to take place ? """""""	4
9	95518f91a86d0d58fefe5f218	 The performances were awful , the costumes delivered a generic feeling for the period and being a Victorian Living Historian , I was unimpressed with the accuracy of weaponry and attention to detail.<br /><br />I would n't say you need any knowledge of the Kelly saga to stay with the flow of this movie but to comprehend the happenings and attitudes of the time you will require a bit of basic historical knowledge . Do not expect , as some rather silly people do , any of the characters to have the Auzzie accent as we know it , it was , at that time , a country during infancy.<br /><br />OK , the story had some elements of fiction but these detracted form a wider following of the film . Gregor Jordan said in the extra feature on the DVD that he wanted his movie to ' inspire an interest ' , and that is the opposite of what happened with me so this movie gets the thumbs down here.<br /><br />See it and you WILL   be sorry	0
10	1b7ee7159f95c202aca506bc7	" """""" is seismic activity with little or negligible results on the surface . So in that respect , IMDb 's average voting score is spot on.<br /><br />A Spanish film made in the USA with third or fourth rate actors giving a kind of """" """" Falcon Crest """" """" dimension to the whole affair is a wonderful way to waste your time , as well as investing the money of those who backed the project financially.<br /><br />The slugs involved are originals from Asturias , northern Spain , but as they were not allowed into the United States , plastic ones had to be made . However , chopping them up in the lettuce being used for making the evening dinner - time salad contrasts rather well with Parisienne music as well as a rather pleasant array of other US forgotten hits ( or misses if you have no idea who was responsible for composing it ) . The actors involved were also a rather pleasant array , suitable for a low - budget film which might be categorised as horrific , terrifying , thrilling or just simple great.<br /><br />As a result , the outcome is negligible on the surface , undetected underground , and about as attractive as Chapter 17,000 of Coronation Street or the latest news from Baghdad . """""""	4
11	5c3f69b1fc90a94664049b2c0	" """""" I watched this movie and it was really enjoyable . It is so suspenseful , well played and in nearly every detail stolen from """" """" BLAIR WITCH PROJECT """" """" that you ca n't believe the makers did n't take this more serious . Even harder to believe , is how this movie did n't make it to the theater . So , if want to see a real horror - movie , please watch this . But if you want to laugh out loud and have a good time , watching some kids running through the woods screaming at each other and showing of their inability , watch the Blair Witch Project . Would recommend . """""""	4
12	be5b2052702857d9593aa656d	" """""" This is a dull , spirit - destroying movie . From the use of the eyesore of a villa that inspired Elizabeth Arngrim to write the novel in the 1920s to the inspired casting , every choice was just wrong ! The quiet """" """" joy """" """" of this film stales during the first viewing . Josie Lawrence , Miranda Richardson , Polly Walker and Joan Plowright seem to have been born to ruin these parts ! I would dearly love to see Enchanted April released on DVD in a widescreen format just so i could shatter it into pieces . """""""	0
13	c50afd331291879767020265c	" """""" Even in a bad film , there is usually some redeeming feature , something that you can say yes it was terrible , but there was that performance , or that part of the script , or that special effect , this was just simply wonderful all over . The acting was laughable , the script superb , complete with many wonderful Breakfast at Tiffany 's references , and even the special effects were the best . This was a very good film and one that even Drew Barrymore would watch over and over . Watch it if you want to : a ) Suffer abdominal pain from laughing so hard . b ) See just how wonderful a film can be . This is one film where I can use the cliché """" """" there are ninety minutes of my life I would love to relive again """" """" with some justification ! """""""	4
14	b4d056c8099481567a65d64fc	 Anyone who has a remote interest in science fiction should start at the basics . Everyone says STAR WARS and STAR TREK are the best science fiction films to begin at , which is fine but the truth is THE TERMINATOR and this movie , SOYLENT GREEN , are far better choices than those series . SOYLENT is probably science fiction 's best kept secret . It remains one of the biggest , yet most forgotten films but the impact of its setting is becoming more a reality with each passing day . Charlton Heston overdramatizes his role , yet it works . Edward G. Robinson , in his final role , makes the most out of it in SOYLENT GREEN more than anyone else and his final scenes are touching.<br /><br />It is Manhattan in 2022 , the world is overcrowded and food is an unbelievable fortune ( a small jar of strawberry jam costs $ 150 ) . A big executive for the Soylent company is murdered and police detective Thorn is on the case.<br /><br />The secret of soylent green is not a mystery if you do research on the movie . SOYLENT is enjoyable to watch , and the whole screenplay is deep . It is just as meaningful as the entire production . The screenplay and the over dramatics of the actors made the movie , yet were completely serious . Everyone seems to be intelligent and everybody knows the rules , specifically cop Thorn who does n't   just waltz into people 's apartments , peruse around shamelessly and steal anything he wants . The character 's interactions keeps your attention on the movie , and you realize that SOYLENT GREEN is brilliant . An enjoyable piece if you have the time ,   do not expect anything less .	4
15	fd6826dbdeecafcec05ae4ff9	" """""" I enjoy watching people doing breakdance , but not if they do it as badly as in the worst scenes of this movie which takes you to a disco club called """" """" Roxy """" """" . Especially at Christmas time , because there also appears a """" """" MC Santa Claus"""""""".<br /><br />Even if this is an old film , and even if I have videotaped it from TV , when the State Movie Archive of Finland showed this in the summer of 2004 on their own big screen , I went there to check it out . It 's much less enjoyable on big screen than on TV.<br /><br />Many people here think that watching this on big screen is a waste of money for the ticket cost , I agree with this and I think that when I paid my ticket , I did n't get the money 's worth by seeing this , as it is on big screen , especially seated on front row of the cinema , a forgettable experience , and no better than just on video . """""""	0
16	2dc8a10cc53c49de9997bd2d2	" """""" The super sexy B movie actress has another bit part as future """" """" Goodfellas """" """" star Ray Liotta 's girlfriend in this box office release . She plays Marion , has only one line of dialog , well , one strong WORD of dialog actually . She shouts out """" """" Joe ! """" """" as Ray 's character is violating poor Pia Zadora with a plastic garden hose sprinkler . This movie is so good though it becomes funny , hilarious at times . The guys at Mystery Science Theater 3000 would love this ! Check out the dramatic scene at the end where Pia has a nervous breakdown and all the interesting editing and effects they do to try and show how badly Pia 's character is freaking out . Pia plays an aspiring Hollywood screenwriter in this . Pia Zadora is a screenwriter ? Yeah , sure ! Pia can speak well , and also write ! Pia is utterly and absolutely well - cast in this engaging role . But how could anyone not care ? Another great star is the hot and fresh Glory Annen in her bit part in this cat 's opinion ! Rock on Glory ! """""""	4
17	365a2da73008fcc923d3c4b5a	 When I got this movie free from my job , along with three other similar movies .. I could n't believe my luck . Now this movie is too good to be true . It 's a steal for that price . It is a tale of love , betrayal , lies , sex , scandal , everything you want in a movie . Definitely not a Hollywood blockbuster , but full of thrills . I would probably watch this movie again and again . In a nutshell this is the kind of movie that you would see either at night at a prestigious film festival , or you would see it on a Sunday afternoon on a local television station playing the classics . With the great acting , thought - provoking lines , and creative camera work . I could n't turn off the movie and was glad it popped into my DVD player . The story has never been done like this in many movies . This one is so different , so much better . < br /><br />Not your average movie .	4
18	bf79cce870ec61f3797b8e24b	" """""" A qualified """" """" 0 . """" """" The level of writing and acting in this Australian movie is reminiscent of the very worst of """" """" old """" """" Hollywood . Sam Neill and Meryl Streep are not good together . Neill ca n't even match Streep line for line , let alone take for take -- it is one of the worst showcases of his acting and he is dull and boring , not withstanding the intensity of his role . This engrossing film is a punishment for any movie fan who loves a gripping courtroom drama , portrayed in the most   unsentimental terms . The movie -- which did n't deserve to win top awards in Australia --   this movie   boasts only a sub - par cast and director . It proves that people are n't the same all over the world . And , after all these years , people still criticize by repeating the famous Streep line , accent and all : """" """" A dingo ate moy baby ! """" """" Including that imp """" """" Elaine Benis """" """" on """" """" Seinfeld . """" """" """""""	0
19	49655b335a8a3a21145125f2e	 An unconventional historical drama , with some mediocre battle scenes . Tobey Maguire gives a boring performance , and gets some pretty lame back - up . The script is barely literate and far from original , and the film is kept unfortunately free of heroes . That said , it does drag a lot , and the last reel is too much like a TV mini - series . Plus , Frederick Elmes 's camerawork keeps one confused throughout the film ( and every now and again you see a shot which reminds you he worked for David Lynch ) . Not worth seeing .	0
20	6c7fa0c8d3dfcf02cf29b8870	 MAY CONTAIN SPOILERS ... AND YOU DON'T WANT IT TO BE SPOILT!!.<br /><br />Five Across The Eyes can be summed up in one word .... Professional . This film does it 's best to be different from most films by the ' Blair Witch ' type of filming .... it totally works .... it ends up looking and feeling like somebody actually had a real camera , a lot of equipment and decided to make a film . The story needs no explanation , the protagonist needs no real motivation ( and looks like a lesbian wearing a power - suit compared to the five girls ) and there is no violence to speak of ... just the sounds of screaming and crunching . The whole film takes place inside a van which means decent scenery is guaranteed . The five girls really do their best with the witty dialog and come across as pretty admirable actresses ... although with the great material given they barely even need to aCt .... they spend THE WHOLE movie screaming , squealing and whimpering .... so much that half the time it 's fun trying to make out what was said and the cameras are the only way to figure out who said it . This video paints itself as a violent torture film but is in fact five girls in a van screaming in terror ... that literally sums up the whole movie ..... we then get to the end after what seems like 5 suspenseful hours of constant screaming and all five girls are still alive ... with one minus a finger . And a thumbs up(get it ... finger .... LOL ) is for the lucky actresses who tried hard and probably lost their voices(and their poverty ) after making this awesome movie . Do not judge this by the poster .... you'll be pleasantly surprised .	4
21	222159b682bd72bc6cac1a7a2	 This engaging ( which it should be ) high - grade Spanish exultation ( quite tamely I might add ) looks good , huh ? Let me phrase that again ' huh ? ' . Actually the word ' huh ? ' would be going through your mind quite a lot . Everything makes sense , it does try afterall . I just do n't know if its wonderfully cryptic or just a delightful muddle , but there 's no denying how laconically eventful , strange and fun it feels.<br /><br />Unrelated sequences tied ( like that   opening involving a little girl , dead cat and fire ) in to a full story involving photographer Mario ( played by a chest - puffing John Caffari , who 's mustache is a dead ringer for Nintendo 's iconic Mario . What 's the odds ? ) that ditches his girlfriend at home and encounters a young lady ( a gorgeously fixating Patty Shepard ) who he asks to come with him on an photography assignment , where at this remote mountain retreat they come across some hooded witches.<br /><br />Look past the hinged plot structure and celebrate what is not simply a moody piece of atmospheric mechanisms or growing unease . Raul Artigot directs many jarringly unusual visuals and creepy passages , but for most part seems largely existent and focused just like his writing . Ramon Sempere 's striking cinematography lenses the gracefully rich scenery as we take in the scenic views and let the time leisurely grind away . However there are certain areas where it was too dark to see what was going on . Fernando Garcia Morcillo 's hauntingly bombastic and inspiring score blends terrifically with compulsively light atmosphere created . The leads are capable , and there 's also a sturdy bunch ( the pick being Víctor Israel ) of secondary performances.<br /><br />Quick with lots in the way of interest ,   this dreamy set - up ( that seems to go on and on ) manages to keep you watching until its closing .	4
22	c27587a960a88ed83223ebbb4	 The thought of Sarah Silverman having her own show worried me at first . The films she has appeared in were not very funny and her humor is a bit off . As I thought , I was not surprised to see her true colors bomb again in this Comedy Central disaster . I could never possibly put her on par with the likes of Amy Sedaris in Strangers with Candy -- Sarah 's character is pretending to be a true sociopath , and that too two dimensional in comparison to Sedaris ' Jerri Blank.<br /><br />Another downfall of this show is its supporting cast . Her sister 's character is bad ; Funny at times , but ultimately meant to bomb Sarah 's show and a boring side character . The rest of the cast is extremely sub - par in comparison.<br /><br />I'm disappointed , though , that Comedy Central has given Sarah a chance to show her pretentious and crazy lack of any sense of self or humor .	0
